Row.names	ggi	stat1	class	GSE
GSM615096	-0.529716466924866	-0.534467464645834	RCB-III	GSE25066
GSM615098	0.506116955358349	0.336135527909273	RCB-II	GSE25066
GSM615099	0.514513519663335	0.485533575495057	pCR	GSE25066
GSM615100	-0.366279985010876	0.0998258304989744	RCB-II	GSE25066
GSM615101	0.644450448790147	-0.293937162947641	RCB-II	GSE25066
GSM615102	0.422191335829395	-0.397025052745561	RCB-II	GSE25066
GSM615104	0.308564105120594	-0.173341689976478	RCB-III	GSE25066
GSM615106	-0.315545170328541	-0.59248719588704	RCB-II	GSE25066
GSM615107	-0.208919761469338	0.57622600196459	RCB-I	GSE25066
GSM615108	0.517699868663544	0.0193444184791989	RCB-III	GSE25066
GSM615109	0.456116366680314	-0.024308197618075	RCB-III	GSE25066
GSM615110	0.205208898982888	-0.312687631162978	pCR	GSE25066
GSM615111	0.354941827236604	-0.327965608512824	RCB-III	GSE25066
GSM615112	0.617344552896416	0.375084245911833	RCB-II	GSE25066
GSM615113	0.374822820372642	-0.423878318472615	RCB-III	GSE25066
GSM615114	-0.517351092698642	-0.51006155195517	RCB-III	GSE25066
GSM615115	-0.205899536519018	-0.00135907106973882	RCB-II	GSE25066
GSM615116	0.0150774146169956	0.39744219597694	RCB-II	GSE25066
GSM615117	0.412909352824107	0.335152527568606	RCB-II	GSE25066
GSM615120	-0.594739060167168	-0.33442935702453	RCB-II	GSE25066
GSM615121	0.168154918721402	-0.488540009652752	RCB-II	GSE25066
GSM615122	-0.537447371070671	-0.335771806951505	pCR	GSE25066
GSM615123	0.603931428159577	0.237221081785237	pCR	GSE25066
GSM615124	0.0392686381294854	-0.399549253968126	RCB-II	GSE25066
GSM615125	-0.45739543953363	0.253293671506006	RCB-I	GSE25066
GSM615126	-0.0224944225291462	0.368719028256298	RCB-III	GSE25066
GSM615127	-0.0480613300051463	-0.597236569537109	RCB-II	GSE25066
GSM615128	-0.194400961870637	0.30520802977384	RCB-II	GSE25066
GSM615129	-0.358398267185579	0.57240333112865	RCB-I	GSE25066
GSM615130	-0.460658147882404	0.369559166451041	RCB-II	GSE25066
GSM615131	-0.4369399556625	0.426728937105499	RCB-III	GSE25066
GSM615132	-0.098835024664678	0.100935670289844	RCB-III	GSE25066
GSM615133	-0.618211675475302	-0.380659315898844	RCB-III	GSE25066
GSM615134	-0.510560110078036	-0.282526509929643	RCB-III	GSE25066
GSM615135	-0.359330889870136	-0.427177309182488	RCB-III	GSE25066
GSM615136	0.532933141947492	-0.0915326934811835	RCB-III	GSE25066
GSM615137	-0.0868036796291417	0.580667300398898	pCR	GSE25066
GSM615138	0.0423221514189845	-0.144397991188669	RCB-II	GSE25066
GSM615139	0.494339357317894	-0.368817723752412	pCR	GSE25066
GSM615140	-0.252561477771439	0.325178194558132	pCR	GSE25066
GSM615141	-0.200698939310041	0.495066193809779	RCB-III	GSE25066
GSM615142	-0.00497957573892072	0.0928023269452206	RCB-II	GSE25066
GSM615143	0.207037199605213	0.251261826895305	pCR	GSE25066
GSM615144	-0.165242168687481	0.0578701369489669	RCB-II	GSE25066
GSM615146	0.332881493359936	-0.0590818505427741	pCR	GSE25066
GSM615147	-0.141413726164805	-0.137903748114563	RCB-II	GSE25066
GSM615148	0.210318005484797	0.476451624741868	RCB-II	GSE25066
GSM615149	0.000348989536217884	-0.395749296152776	RCB-III	GSE25066
GSM615150	-0.49006940744447	0.310262794260572	RCB-III	GSE25066
GSM615151	0.426925194195064	-0.310100978407131	RCB-II	GSE25066
GSM615152	0.616585230253243	-0.509323625014437	RCB-II	GSE25066
GSM615153	-0.12770130175501	-0.468365255280125	RCB-II	GSE25066
GSM615154	0.11067792877943	0.46670624572323	pCR	GSE25066
GSM615155	0.375391893024	0.321990478174381	RCB-II	GSE25066
GSM615156	0.372442800943733	0.0335570514313353	RCB-II	GSE25066
GSM615157	0.00514381189621572	0.632317811008541	RCB-II	GSE25066
GSM615158	-0.640262324054788	-0.542230627660758	RCB-III	GSE25066
GSM615159	0.092063843625702	-0.150812750477534	RCB-II	GSE25066
GSM615160	0.606552946733706	0.425850236107119	RCB-III	GSE25066
GSM615161	-0.165117265344203	0.154566893677028	RCB-III	GSE25066
GSM615164	0.559375823061152	-0.591137501535308	pCR	GSE25066
GSM615165	-0.310928065017264	0.429592392470072	RCB-II	GSE25066
GSM615166	-0.325882762618472	-0.277616704538999	RCB-II	GSE25066
GSM615167	-0.504541757628323	-0.421186732605042	pCR	GSE25066
GSM615169	-0.140009405715774	0.654468438038866	RCB-II	GSE25066
GSM615170	-0.580714537062363	-0.332679347461331	RCB-II	GSE25066
GSM615171	-0.469146311680859	0.785398535051453	pCR	GSE25066
GSM615172	-0.507721368637482	-0.525531134415823	RCB-II	GSE25066
GSM615173	-0.616743247671696	-0.450710999776322	RCB-II	GSE25066
GSM615174	0.429828167340485	-0.283503207482295	RCB-II	GSE25066
GSM615175	0.428580920238147	0.500541034543456	pCR	GSE25066
GSM615176	-0.601505340973073	-0.309310509344241	RCB-II	GSE25066
GSM615177	0.028218043278129	0.321211434457589	RCB-II	GSE25066
GSM615178	0.377973324606107	0.564574870961297	RCB-III	GSE25066
GSM808102	0.223973030311497	0.47467367578773	RCB-II	GSE32603
GSM808103	-0.515676292829824	0.275341073302869	RCB-II	GSE32603
GSM808104	-0.479937190994517	-0.223023937218585	RCB-III	GSE32603
GSM808105	0.0427432850514854	-0.333158879879012	RCB-III	GSE32603
GSM808107	0.181908676852404	-0.0269770330853603	RCB-II	GSE32603
